rocket,payloads,launchpad,cores,date_utc,payload_mass,orbit,booster_version,launch_site,longitude,latitude,core_block,core_reused_count,core_serial,core_outcome,core_flights,core_gridfins,core_reused,core_legs,core_landing_pad,flight_number,landing_class
5e9d0d95eda69973a809d1ec,5eb0e4b7b6c3bb0006eeb1e7,5e9e4501f509094ba4566f84,"{'core': '5e9e289ef359185f2b3b2628', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2010-06-04T18:45:00.000Z,6123.547647058824,LEO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B0003,None None,1,False,False,False,,1,0
5e9d0d95eda69973a809d1ec,5eb0e4bab6c3bb0006eeb1ea,5e9e4501f509094ba4566f84,"{'core': '5e9e289ef35918f39c3b262a', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2012-05-22T07:44:00.000Z,525.0,LEO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B0005,None None,1,False,False,False,,2,0
5e9d0d95eda69973a809d1ec,5eb0e4bbb6c3bb0006eeb1ed,5e9e4501f509094ba4566f84,"{'core': '5e9e289ff3591884e03b262c', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2013-03-01T19:10:00.000Z,677.0,ISS,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B0007,None None,1,False,False,False,,3,0
5e9d0d95eda69973a809d1ec,5eb0e4bbb6c3bb0006eeb1ee,5e9e4502f509092b78566f87,"{'core': '5e9e289ff359180ae23b262d', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}",2013-09-29T16:00:00.000Z,500.0,PO,Falcon 9,VAFB SLC 4E,-120.610829,34.632093,1.0,0,B1003,False Ocean,1,False,False,False,,4,0
5e9d0d95eda69973a809d1ec,5eb0e4bbb6c3bb0006eeb1ef,5e9e4501f509094ba4566f84,"{'core': '5e9e289ff35918862c3b262e', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2013-12-03T22:41:00.000Z,3170.0,GTO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B1004,None None,1,False,False,False,,5,0
5e9d0d95eda69973a809d1ec,5eb0e4bbb6c3bb0006eeb1f0,5e9e4501f509094ba4566f84,"{'core': '5e9e289ff3591878603b262f', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2014-01-06T18:06:00.000Z,3325.0,GTO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B1005,None None,1,False,False,False,,6,0
5e9d0d95eda69973a809d1ec,5eb0e4bbb6c3bb0006eeb1f1,5e9e4501f509094ba4566f84,"{'core': '5e9e289ff3591829343b2630', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",2014-04-18T19:25:00.000Z,2296.0,ISS,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B1006,True Ocean,1,False,False,True,,7,1
5e9d0d95eda69973a809d1ec,5eb0e4bcb6c3bb0006eeb1f2,5e9e4501f509094ba4566f84,"{'core': '5e9e28a0f3591870a63b2631', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",2014-07-14T15:15:00.000Z,1316.0,LEO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B1007,True Ocean,1,False,False,True,,8,1
5e9d0d95eda69973a809d1ec,5eb0e4bcb6c3bb0006eeb1f3,5e9e4501f509094ba4566f84,"{'core': '5e9e28a0f359186e2e3b2632', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2014-08-05T08:00:00.000Z,4535.0,GTO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B1008,None None,1,False,False,False,,9,0
5e9d0d95eda69973a809d1ec,5eb0e4bcb6c3bb0006eeb1f4,5e9e4501f509094ba4566f84,"{'core': '5e9e28a0f35918b1bc3b2633', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",2014-09-07T05:00:00.000Z,4428.0,GTO,Falcon 9,CCSFS SLC 40,-80.577366,28.5618571,1.0,0,B1011,None None,1,False,False,False,,10,0
